RowNumber,CustomerId_b,CreditScore_b,Tenure_b,Balance_b,NumOfProducts_b,HasCrCard_b,IsActiveMember_b,Exited_b,Known
1,15634602,619,2,0,1,1,1,1,No
2,15647311,608,1,83807.86,1,0,1,0,No
3,15619304,502,8,159660.8,3,1,0,1,No
4,15701354,699,1,0,2,0,0,0,No
5,15737888,850,2,125510.82,1,1,1,0,No
6,15574012,645,8,113755.78,2,1,0,1,No
7,15592531,822,7,0,2,1,1,0,No
8,15656148,376,4,115046.74,4,1,0,1,No
9,15792365,501,4,142051.07,2,0,1,0,No
10,15592389,684,2,134603.88,1,1,1,0,No
11,15767821,528,6,102016.72,2,0,0,0,No
12,15737173,497,3,0,2,1,0,0,No
13,15632264,476,10,0,2,1,0,0,No
14,15691483,549,5,0,2,0,0,0,No
15,15600882,635,7,0,2,1,1,0,No
16,15643966,616,3,143129.41,2,0,1,0,No
17,15737452,653,1,132602.88,1,1,0,1,No
18,15788218,549,9,0,2,1,1,0,No
19,15661507,587,6,0,1,0,0,0,No
20,15568982,726,6,0,2,1,1,0,No
21,15577657,732,8,0,2,1,1,0,No
22,15597945,636,8,0,2,1,0,0,No
23,15699309,510,4,0,1,1,0,1,No
24,15725737,669,3,0,2,0,1,0,No
25,15625047,846,5,0,1,1,1,0,No
26,15738191,577,3,0,2,0,1,0,No
27,15736816,756,2,136815.64,1,1,1,0,No
28,15700772,571,9,0,2,0,0,0,No
29,15728693,574,3,141349.43,1,1,1,0,No
30,15656300,411,0,59697.17,2,1,1,0,No
31,15589475,591,3,0,3,1,0,1,No
32,15706552,533,7,85311.7,1,0,1,0,No
33,15750181,553,9,110112.54,2,0,0,0,No
34,15659428,520,6,0,2,1,1,0,No
35,15732963,722,9,0,2,1,1,0,No
36,15794171,475,0,134264.04,1,1,0,1,No
37,15788448,490,3,145260.23,1,0,1,0,No
38,15729599,804,7,76548.6,1,0,1,0,No
39,15717426,850,7,0,1,1,1,0,No
40,15585768,582,6,70349.48,2,0,1,0,No
41,15619360,472,4,0,1,1,0,0,No
42,15738148,465,8,122522.32,1,0,0,1,No
43,15687946,556,2,117419.35,1,1,1,0,No
44,15755196,834,2,131394.56,1,0,0,1,No
45,15684171,660,5,155931.11,1,1,1,0,No
46,15754849,776,4,109421.13,2,1,1,0,No
47,15602280,829,9,112045.67,1,1,1,1,No
48,15771573,637,9,137843.8,1,1,1,1,No
49,15766205,550,2,103391.38,1,0,1,0,No
50,15771873,776,2,103769.22,2,1,0,0,No
51,15616550,698,10,116363.37,2,1,0,0,No
52,15768193,585,5,146050.97,2,0,0,0,No
53,15683553,788,5,0,2,0,0,0,No
54,15702298,655,8,125561.97,1,0,0,1,No
55,15569590,601,1,98495.72,1,1,0,1,No
56,15760861,619,1,125211.92,1,1,1,0,No
57,15630053,656,5,127864.4,1,1,0,0,No
58,15647091,725,0,75888.2,1,0,0,0,No
59,15623944,511,4,0,1,1,0,1,No
60,15804771,614,4,40685.92,1,1,1,0,No
61,15651280,742,5,136857,1,0,0,0,No
62,15773469,687,9,152328.88,2,0,0,0,No
63,15702014,555,1,56084.69,2,0,0,0,No
64,15751208,684,8,78707.16,1,1,1,0,No
65,15592461,603,4,109166.37,1,1,1,0,No
66,15789484,751,6,169831.46,2,1,1,0,No
67,15696061,581,1,101633.04,1,1,0,0,No
68,15641582,735,10,123180.01,2,1,1,0,No
69,15638424,661,5,150725.53,2,0,1,0,No
70,15755648,675,8,98373.26,1,1,0,0,No
71,15703793,738,2,133745.44,4,1,0,1,No
72,15620344,813,6,0,1,1,0,0,No
73,15812518,657,0,163607.18,1,0,1,0,No
74,15779052,604,5,157780.84,2,1,1,0,No
75,15770811,519,9,0,2,0,1,0,No
76,15780961,735,1,178718.19,2,1,0,0,No
77,15614049,664,8,0,2,1,1,0,No
78,15662085,678,9,0,1,1,1,0,No
79,15575185,757,5,77253.22,1,0,1,0,No
80,15803136,416,10,122189.66,2,1,0,0,No
81,15706021,665,1,96645.54,2,0,0,0,No
82,15663706,777,2,0,1,1,0,1,No
83,15641732,543,3,0,2,0,0,0,No
84,15701164,506,4,90307.62,1,1,1,0,No
85,15738751,493,4,0,2,1,0,0,No
86,15805254,652,10,0,2,1,1,0,No
87,15762418,750,3,121681.82,1,1,0,1,No
88,15625759,729,9,0,2,1,0,0,No
89,15622897,646,4,0,3,1,0,1,No
90,15767954,635,3,81623.67,2,1,1,0,No
91,15757535,647,5,0,3,1,1,1,No
92,15731511,808,7,118626.55,2,1,0,0,No
93,15809248,524,10,0,2,1,0,0,No
94,15640635,769,8,0,2,1,1,0,No
95,15676966,730,4,0,2,0,1,0,No
96,15699461,515,10,176273.95,1,0,1,0,No
97,15738721,773,9,102827.44,1,0,1,0,No
98,15693683,814,8,97086.4,2,1,1,0,No
99,15604348,710,8,0,2,0,0,0,No
100,15633059,413,9,0,2,0,0,0,No
101,15808582,665,6,0,1,1,1,0,No
102,15743192,623,6,0,2,0,0,0,No
103,15580146,738,9,82674.15,1,1,0,0,No
104,15776605,528,7,0,2,1,0,0,No
105,15804919,670,1,0,1,1,1,1,No
106,15613854,622,4,107073.27,2,1,1,1,No
107,15599195,582,1,88938.62,1,1,1,0,No
108,15812878,785,2,99806.85,1,0,1,0,No
109,15602312,605,5,150092.8,1,0,0,0,No
110,15744689,479,9,92833.89,1,1,0,1,No
111,15803526,685,3,90536.81,1,0,1,0,No
112,15665790,538,7,108055.1,2,1,0,0,No
113,15715951,562,2,100238.35,1,0,0,0,No
114,15591100,675,9,106190.55,1,0,1,0,No
115,15609618,721,9,154475.54,2,0,1,1,No
116,15675522,628,9,132351.29,2,1,1,0,No
117,15705512,668,6,167864.4,1,1,0,0,No
118,15698028,506,1,0,2,1,0,0,No
119,15661670,524,8,107818.63,1,1,0,1,No
120,15600781,699,4,185173.81,2,1,0,0,No
121,15682472,828,8,129433.34,2,0,0,0,No
122,15580203,674,6,120193.42,1,0,0,0,No
123,15690673,656,6,0,2,1,0,0,No
124,15760085,684,10,126384.42,1,1,1,0,No
125,15779659,625,3,0,1,0,0,0,No
126,15627360,432,9,152603.45,1,1,0,1,No
127,15671137,549,1,0,1,0,1,1,No
128,15782688,625,0,148507.24,1,1,0,1,No
129,15575492,828,7,0,2,1,0,0,No
130,15591607,770,9,101827.07,1,1,0,0,No
131,15740404,758,3,0,2,1,1,0,No
132,15718369,795,9,130862.43,1,1,1,0,No
133,15677871,687,9,122570.87,1,1,1,0,No
134,15642004,686,1,0,2,0,1,0,No
135,15712543,789,7,124828.46,2,1,1,0,No
136,15584518,589,5,144895.05,2,1,1,0,No
137,15802381,461,5,63663.93,1,0,1,0,No
138,15610156,637,2,133463.1,1,0,1,0,No
139,15594408,584,2,213146.2,1,1,0,1,No
140,15640905,579,1,129490.36,2,0,1,1,No
141,15698932,756,10,137452.09,1,1,0,0,No
142,15724944,663,7,0,2,1,1,0,No
143,15628145,682,5,125851.93,1,1,1,0,No
144,15713483,793,2,0,1,1,0,1,No
145,15612350,691,5,40915.55,1,1,0,1,No
146,15800703,485,5,113157.22,1,1,1,0,No
147,15705707,635,8,138296.94,2,1,0,0,No
148,15754105,650,5,106967.18,1,0,0,0,No
149,15703264,735,9,120681.63,1,1,0,0,No
150,15794413,416,0,0,2,0,1,0,No
151,15650237,754,7,0,2,1,0,0,No
152,15759618,535,9,0,1,1,0,1,No
153,15811589,716,8,0,2,1,0,0,No
154,15689044,539,2,127609.59,1,1,0,0,No
155,15709368,614,6,0,2,1,1,0,No
156,15679145,706,7,0,1,1,0,1,No
157,15655007,758,7,0,2,0,0,0,No
158,15623595,586,2,0,2,1,1,0,No
159,15589975,646,6,97259.25,1,0,1,0,No
160,15804017,631,4,123246.7,1,0,0,0,No
161,15692132,717,6,101060.25,1,0,1,0,No
162,15641122,684,2,0,2,1,0,0,No
163,15630910,800,7,108007.36,1,0,0,0,No
164,15680772,721,2,0,2,1,1,0,No
165,15658929,683,0,133702.89,1,1,0,1,No
166,15585388,660,9,125189.75,2,1,1,0,No
167,15724623,704,7,113034.22,1,1,0,1,No
168,15588537,615,9,109013.23,1,1,0,0,No
169,15574692,667,2,0,2,1,0,1,No
170,15611325,682,9,57929.81,2,0,0,0,No
171,15587562,484,4,130114.39,1,1,0,0,No
172,15613172,628,5,95826.49,2,1,0,0,No
173,15651022,480,10,129608.57,1,1,0,1,No
174,15586310,578,4,169462.09,1,1,0,0,No
175,15625524,512,5,0,2,1,1,0,No
176,15755209,484,7,133868.21,1,1,1,0,No
177,15645248,510,0,0,2,1,1,0,No
178,15790355,606,5,190479.48,2,0,0,0,No
179,15762615,597,8,101993.12,1,0,1,0,No
180,15625426,754,3,161608.81,1,1,0,1,No
181,15716334,850,2,122311.21,1,1,1,0,No
182,15789669,510,2,0,2,1,1,0,No
183,15621075,778,1,162150.42,2,1,0,0,No
184,15810845,636,2,0,2,1,1,0,No
185,15719377,804,4,0,1,1,1,1,No
186,15654506,514,8,0,2,1,0,0,No
187,15771977,730,1,99010.67,1,1,0,0,No
188,15708710,525,0,0,1,0,1,0,No
189,15726676,616,5,0,2,0,1,0,No
190,15587421,687,7,111388.18,2,1,0,0,No
191,15726931,715,8,56214.85,2,0,0,1,No
192,15771086,512,3,84327.77,2,1,0,0,No
193,15756850,479,1,0,2,0,0,0,No
194,15702741,601,8,93012.89,1,1,0,0,No
195,15679200,580,9,61710.44,2,1,0,0,No
196,15594815,807,3,174790.15,1,1,1,0,No
197,15635905,616,6,0,2,1,1,0,No
198,15777892,721,3,107720.64,1,1,1,0,No
199,15656176,501,10,0,2,1,1,0,No
200,15811127,521,6,96423.84,1,1,0,0,No
201,15604482,850,2,141040.01,1,1,1,0,No
202,15622911,759,4,105420.18,1,0,1,0,No
203,15600974,516,5,0,1,0,1,1,No
204,15727868,711,2,129022.06,2,1,1,1,No
205,15627801,512,3,176666.62,1,1,0,0,No
206,15773039,550,3,0,1,1,1,0,No
207,15755262,608,3,89763.84,1,0,0,1,No
208,15679531,618,5,134954.53,1,1,1,0,No
209,15684181,643,5,0,1,1,0,1,No
210,15612087,671,2,106376.85,1,0,1,0,No
211,15752047,689,2,161814.64,2,1,0,0,No
212,15624592,603,8,0,2,1,1,0,No
213,15573152,620,9,0,2,0,0,0,No
214,15594917,676,1,63095.01,1,1,1,0,No
215,15785542,572,4,118287.01,2,0,0,0,No
216,15723488,668,7,106854.21,1,0,1,1,No
217,15680920,695,7,49512.55,1,1,0,0,No
218,15786308,730,9,0,2,0,0,0,No
219,15659366,807,1,105799.32,2,1,0,1,No
220,15774854,592,8,0,1,1,1,1,No
221,15725311,726,9,114722.05,2,1,1,0,No
222,15787155,514,7,0,1,0,1,0,No
223,15727829,567,2,0,2,1,1,0,No
224,15733247,850,10,0,1,1,0,1,No
225,15568748,671,6,99564.22,1,1,1,1,No
226,15699029,670,4,170557.91,2,1,0,0,No
227,15774393,694,9,0,2,1,1,0,No
228,15676895,547,6,74596.15,3,1,1,1,No
229,15637753,751,2,96888.39,1,1,0,1,No
230,15605461,594,3,130830.22,1,1,0,0,No
231,15808473,673,1,0,2,0,1,0,No
232,15627000,610,0,0,2,1,0,0,No
233,15787174,512,1,0,2,0,1,0,No
234,15723886,767,3,119714.25,2,0,1,0,No
235,15704769,585,5,113978.97,2,0,1,0,No
236,15772896,763,6,100160.75,1,1,0,1,No
237,15711540,712,2,0,1,1,1,0,No
238,15764866,539,3,116220.5,3,1,0,1,No
239,15794056,668,2,0,3,1,0,1,No
240,15795149,703,2,81173.83,2,0,1,0,No
241,15812009,662,4,0,2,1,0,0,No
242,15651001,725,5,116803.8,1,1,0,0,No
243,15813844,703,8,105961.68,2,0,1,0,No
244,15596175,659,6,117411.6,1,1,1,1,No
245,15576269,523,7,0,2,1,0,0,No
246,15797219,635,10,123497.58,1,1,0,1,No
247,15685500,772,7,152400.51,2,1,0,0,No
248,15599792,545,1,0,2,1,1,0,No
249,15657566,634,8,103097.85,1,1,1,0,No
250,15772423,739,8,126418.14,1,1,0,1,No
251,15628112,771,5,77846.9,1,0,0,0,No
252,15753754,587,1,0,2,1,1,0,No
253,15793726,681,0,0,2,0,1,0,No
254,15694717,544,2,79731.91,1,1,1,0,No
255,15665834,696,8,0,1,0,0,0,No
256,15765297,766,0,0,2,0,1,0,No
257,15636684,727,10,0,2,1,1,0,No
258,15592979,671,6,37266.67,2,0,0,0,No
259,15750803,693,6,127992.25,1,1,1,0,No
260,15607178,850,3,54901.01,1,1,1,0,No
261,15713853,732,9,108748.08,2,1,1,0,No
262,15673481,726,6,99906.19,1,1,0,0,No
263,15686776,557,6,184686.41,2,1,0,0,No
264,15673693,682,0,110654.02,1,0,1,0,No
265,15700696,738,9,79019.8,1,1,1,0,No
266,15813163,531,9,99240.51,1,1,0,0,No
267,15653857,498,2,0,2,1,1,0,No
268,15777076,651,7,0,2,1,0,0,No
269,15717398,549,7,0,1,0,0,1,No
270,15799217,791,7,52436.2,1,1,0,0,No
271,15787071,650,9,0,2,0,1,0,No
272,15619955,733,3,100337.96,3,1,0,1,No
273,15796505,811,1,149297.19,2,1,1,0,No
274,15725166,707,8,0,2,1,0,0,No
275,15800116,712,4,145605.44,1,0,1,0,No
276,15758685,706,7,0,2,1,1,0,No
277,15694456,756,3,0,1,1,1,1,No
278,15767339,777,10,0,2,1,0,0,No
279,15683562,646,6,84026.86,1,0,1,0,No
280,15782210,714,1,0,1,1,0,1,No
281,15668893,782,8,0,2,1,1,0,No
282,15669169,775,10,0,2,1,1,0,No
283,15643024,479,4,138718.92,1,1,1,1,No
284,15699389,807,7,118274.71,1,1,1,0,No
285,15708608,799,8,174185.98,2,0,1,0,No
286,15626144,675,7,113208.86,2,1,0,0,No
287,15573112,602,5,103907.28,1,1,0,0,No
